Date_Hr_Count,Hr,Count
2022-03-01,00:00,7
2022-03-01,05:00,5
2022-03-01,06:00,40
2022-03-01,07:00,61
2022-03-01,08:00,104
2022-03-01,09:00,83
2022-03-01,10:00,58
2022-03-01,11:00,53
2022-03-01,12:00,49
2022-03-01,13:00,80
2022-03-01,14:00,89
2022-03-01,15:00,99
2022-03-01,16:00,51
2022-03-01,17:00,91
2022-03-01,18:00,123
2022-03-01,19:00,111
2022-03-01,20:00,72
2022-03-01,21:00,52
2022-03-01,22:00,35
2022-03-01,23:00,11
2022-03-02,00:00,9
2022-03-02,05:00,4
2022-03-02,06:00,36
2022-03-02,07:00,68
2022-03-02,08:00,98
2022-03-02,09:00,76
2022-03-02,10:00,53
2022-03-02,11:00,47
2022-03-02,12:00,55
2022-03-02,13:00,63
2022-03-02,14:00,87
2022-03-02,15:00,98
2022-03-02,16:00,65
2022-03-02,17:00,108
2022-03-02,18:00,129
2022-03-02,19:00,94
2022-03-02,20:00,70
2022-03-02,21:00,40
2022-03-02,22:00,36
2022-03-02,23:00,20
2022-03-03,00:00,7
2022-03-03,05:00,4
2022-03-03,06:00,35
2022-03-03,07:00,61
2022-03-03,08:00,103
2022-03-03,09:00,83
2022-03-03,10:00,61
2022-03-03,11:00,37
2022-03-03,12:00,54
2022-03-03,13:00,75
2022-03-03,14:00,95
2022-03-03,15:00,91
2022-03-03,16:00,63
2022-03-03,17:00,77
2022-03-03,18:00,126
2022-03-03,19:00,108
2022-03-03,20:00,81
2022-03-03,21:00,66
2022-03-03,22:00,24
2022-03-03,23:00,27
2022-03-04,00:00,9
2022-03-04,05:00,4
2022-03-04,06:00,35
2022-03-04,07:00,58
2022-03-04,08:00,116
2022-03-04,09:00,74
2022-03-04,10:00,55
2022-03-04,11:00,58
2022-03-04,12:00,49
2022-03-04,13:00,63
2022-03-04,14:00,72
2022-03-04,15:00,88
2022-03-04,16:00,76
2022-03-04,17:00,77
2022-03-04,18:00,103
2022-03-04,19:00,99
2022-03-04,20:00,87
2022-03-04,21:00,67
2022-03-04,22:00,43
2022-03-04,23:00,16
2022-03-05,00:00,16
2022-03-05,05:00,5
2022-03-05,06:00,12
2022-03-05,07:00,33
2022-03-05,08:00,57
2022-03-05,09:00,56
2022-03-05,10:00,71
2022-03-05,11:00,59
2022-03-05,12:00,59
